Investidor;Rua Mateus Leme;Centro Cívico;Curitiba;PR;Brasil;de a lado par;80530-010;Investidora Nexus
JRGQDLSGYRJLETA;TMNQRDPXRESLYQH;SSYEJNCWGHFOGGT;ALPKJMXYBTHKJWI;CAMXOHJSYINJAKF;QPXTNVAGTREHUOU;DLQORIMIGNCWQRO;PKQLJGBJKHSAGRO;WOUOUDXMOTMGTGT
QWLCAKBCEGDJJKG;KODUMVJDLBJSOXI;QNVEBRFSEGUNRIA;SLRMMBIDRANWPXG;DVEJIJNQQMCCQTA;LSILHXMCYNOLDUN;BCSREWNNYKFHRHB;OXLROPMJTYDYJJQ;GNMEBQPSLKTHGYX
HAKSNTEUJVTWGNC;IDGNSXXDJIANHST;ERMKAVGCBMAUFLD;FHOYULXRJKTALUS;NDAALSIPGEMSOPX;TVXMCDEMCRPYBWV;RCRKMHXJKODFCAV;IAKSCCJIOSXXBDO;RQDJSEXXIXRKGUG
TBPGSFTQMTDLNSH;XIBNXYAPJNLARDX;LXBRGTGRNRHUNQX;XUSOXXNLYOBWPLD;EGHBVBMVCVKJDQV;IWQRXTNEXTYQRIN;QEIQAQHRGROLJVL;DXRYDEUUJCFAMGR;TQCMCSCYTFQQYER
TBCGQNWMMFBKVFT;SKNOECCDPDRUEEF;JMQVSDIUSQFHDPA;BEKUBBEMLQRXVJT;ACTOUCLBOGNTQHP;SGPRRSHGLVGLKYX;BNMMNGFYBVBTGIH;JQVWOAIGITCGQRG;ASBHUKNHHYEILRE
EPHRFHAQJXIYVUX;INVUESVQWDKAIYL;VALKDWFKUCGEMIC;AGYNSVAPEXCFPCJ;OQJKAJVYTXWNGYL;JHSVRKCOSLPUMAK;VQVDLETJGBBGAUO;VUXCXOVVEHTORSB;XSOVPWMBBYMMTRC
GWALXNYQOPIBBID;LIQNNVVFPWUUHGC;CACICTALARCOHRL;LUNGPBICCJLDNMA;MKJVDSYYEGUKDPJ;DAHTUBRMULFEWIF;QLUQOAPBKCJHTDV;UFYBNWCHFKLWAQD;DHKCDEAQAUJKDSK
UQECDACGFLBXKIS;DJONEKUNINDFTUW;PMMTBUWJWFAXOCV;LJCEIQYGNSVGFVE;BIYIQJJKPXOCPUA;OTHYNTGPOLDHCJX;VUVCDTHYXEJTDXG;NNMLIPEAVEFTXPP;JRVYPACDKEOLHTP
VPWTTMFMIPQTUIX;OHQFFYMUXWQTAKG;IDDBAHCUEPHTWUQ;OHICSIQQVVQFHOR;HWVVVDPCKOVMEXJ;XGJVPCCCNJNWHRQ;WSUFMEFHIPGERNM;PUFVVDOUEMTYMGD;DLJXIVGFGJTNRDT
SBELLLLNTABOCIF;VNFOBEEILRDFTPE;QLOWGPTCIPJUIOS;AWCJKTCULOGVHGX;JFJFBHSPVPSPPUW;AESBPAMDLBOORXS;JTMFWHTUIEWQOHV;FQHBISLBJSCMBJX;VMWHOYWBGWKSDJR
GRDLMOGCACONINS;UGDDCGSBURGHOBV;JYTGUMKBDPHYCEM;CJOBYYMYBOWXGSB;HKOBHKXPSFJVFME;LDLBBMHFIABVMWE;WTLCJVUUCYSQJBA;JGUBGXNJRLOSBNC;RGMJLRNKMTDSWYT
NRIOFTPCXXSCPUF;LAQLNSTLSXMTIOC;RMOJWYLVVAARFWX;AWJDRQCKFJECKLF;FGGUKANKFEWNSCK;NBVAGOBNCBLGAKB;TRUGXXVNIIBVSWN;SRUDWDDDBIEEHRS;OSBNKORAOLOWIES
MHHKUBROJJQKFKW;WNNMAUDQIQKNTEJ;XCYVXYIYHFXQAXB;BYMJEIGFPCFDUOF;SEDGDICFVEFMKYI;LDUMYXAEMQHYJWH;UQRKVJPOXHSVJUL;CUTEYBJBSVLVEMW;SBQNHQOAFUIOTED
XTQFMKPGEHFGPVL;HTSYBRGUKIUUXUB;SGLSIBTPETINQQU;KPJHATSNUGHKDEB;MQYXITXLDQSBWRB;OWOJUJFICODCIRA;NPHVUVQSFYKGIUF;JAQMKFEVLEJRQVB;TBWJUOXEEPWVDOL
QAIQXGWQIWIYUYM;FNJCEXNIMLRHFKO;JNUGNXOAMQIJTMV;CTOWDCXDUDELEVQ;CKSIOECDSBUFUFO;BJSOIXJITWONRVR;QBMSLUEGGHETUQJ;IDEAAMOHXUCGTWR;GWEJNAKRASXXJRH
MTVEPQJEIGGYTIG;NLSYBXHHAHSLCHR;IPHACOEGKWAIMDL;LFLASOHXFJXAFFJ;QPRFDXQERPLNUCB;REFUPSKCWYXKNIQ;RVNBQUQJYRSRNFM;LQPLDIJXOOQPRTM;KGYASFJLGQUODOR
EIKFIANJRKEOOWA;VPLIJQSLAJMGGSB;RMRAJDLYWVLNBKS;ERLXEFDPSJECMST;FUOTXIUUSQSMMPW;CDPTFETOICXDTGA;IMMINAGTIWAGMBF;KHYIMMFFEOQSOWT;GCLWMYAJXWJIDVK
WPGTCAACTMNYRHN;NBYMHJHFTXIVDKT;MVRVEWMFBRVBDGL;HNKKQXDBEACFAXQ;ATRHPEPYOPBBDBT;QGAPCFAQFODQCTC;ATSJJCMSKSVHQIW;WBMCMAMICJFMOFP;UWSALEEKRJQXYXI
SKQUDYRQOMJBGQQ;BYMQACVLGSUVQXF;VJVEKNNKLPLGAJC;JTNLUAHYSMGVBRN;SNVCRTNBROAYWYY;QGEPYKNMPMKJSXP;XLNYNVHIYTHABMY;UFLVDHBLJIUJRDV;CSWQCPTFBVYQQWA
ODMCRWNQMYISURU;XRGKRJDUFMRUKYC;AAMTMRMFVAMCPHQ;LRKGNRMMKXFSGAW;SFGEVGWEHNLEVXI;IEKDWLCKEYQSVJC;ENPBPKDAIWVSGPC;LMJBIOMQLUXOWCL;MEDQPBKDELCDPQC
MIULQVNLVWSCGNH;VHFAYTHTFELHLYS;OUVUEKJXESNJUKW;UTLDGJGRCXYCPBL;SJFVISSDUBFGBKK;YFKAFJRPUSMJWDL;LTNTCVTEPTKINYP;KJWBSYXLFFFYVKR;FGSIFCIPQAPGLXI
GMKIJDKTLKSJCGX;MHARDENUHGDOMTN;RMOEYEKWELVCXFS;QVJMRXEXVSECPOW;GSGLFBMRQPGRVEV;WXKLRHORHMXUSWF;RERHPMRPYSTQSDI;CNOIGMAWUVJEWEM;RRAEKUMKLEABVWD
BLGCQAPINYBXVRQ;SGEHPIEKGRCMBAT;HCTCMONAEMJUUIM;VPFWYVDLGPYGUDX;URNNSQCJDFUQITV;FHKFJSFGAUYQDOM;PTPWXJPBLDFCACC;YBOQCFIVWWMSJTW;DUORDWDSAYKQPQT
